sort,Name,Sex,Color,Birth Year,Birth Month/Day,Birth Pack,Mother,Father,Birth Location,Current/Death Pack,Previous Packs,Death Year,Last seen,Death/Last Month/Day,Death Cause,Death/Last Location,Alt name,Translocated,on 2023 Wolf Chart?,Official Tree?,Book?,notes
1338,1338,F,b,2020,?,Mollie's,1090F,1237M,Location Unknown,Mollie's,-,Living,Living,Living,Living,Living,,,x,No,No,
1339,1339,M,g ,2020,?,Junction Butte,?,?,Location Unknown,Junction Butte,-,Living,Living,Living,Living,Living,,,x,No,No,
1340,1340,M,g,2020,?,Junction Butte,?,?,Location Unknown,Junction Butte,-,Living,Living,Living,Living,Living,,,x,No,No,
1341,1341,F,g,2020,?,Junction Butte,?,?,Location Unknown,Junction Butte,-,Living,Living,Living,Living,Living,,,x,No,No,
1342,1342,M,b,2019?,?,?,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2022 Wolf Chart
1343,1343,F,b,2021,?,Cougar Creek,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2022 Wolf Chart
1344,1344,M,g,2021,?,Cougar Creek,?,?,Location Unknown,Cougar Creek,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2022 Wolf Chart
1382,1382,F,b,2016,April,Junction Butte,907F (969F?),890M,"Slough Creek Area, YNP",Junction Butte,-,2023,N/A,September 11,Natural (Elk or Bison),"Lamar Valley, YNP",Uncollared Black Female (UBF),,x,Yes,Yes,
1383,1383,F,b,2021*,?,Junction Butte*,?,?,?,Junction Butte*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1384,1384,F,g,2021*,?,Junction Butte*,?,?,?,Junction Butte*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1385,1385,F,b,2022*,?,Junction Butte*,?,?,?,Junction Butte*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
1386,1386,F,b,2021*,?,Junction Butte*,?,?,?,Junction Butte*,-,Living,Living,Living,Living,Living,,,x,No,No,only on 2023 Wolf Chart
